DEC,KO,SUB,TKO,_id,bodyKickAbsRate,bodyKickRate,gymCode,gymCountry,gymLoss,gymName,gymState,gymWins,headKickAbsRate,headKickRate,hookAbsRate,hookRate,jabAbsRate,jabRate,legKickAbsRate,legKickRate,straightAbsRate,straightRate,uppercutAbsRate,uppercutRate
16.7%,0.0%,41.7%,16.7%,6480ded187d3f0a7fb6296b8,8.2%,3.4%,AKA,USA,33.3%,American Kickboxing Academy,California,66.7%,2.1%,2.2%,36.1%,41.9%,15.5%,28.3%,25.3%,7.9%,9.0%,13.0%,3.9%,3.3%
10.3%,7.4%,7.4%,10.3%,6480ded287d3f0a7fb6296b9,11.2%,4.2%,ATT,USA,64.7%,American Top Team,Florida,35.3%,1.2%,2.6%,30.1%,38.2%,25.2%,31.2%,18.2%,10.5%,11.4%,10.9%,2.8%,2.4%
18.2%,9.1%,36.4%,9.1%,6480ded287d3f0a7fb6296ba,7.9%,5.9%,AllstarsTrainingCenter,Sweden,36.4%,Allstars Training Center,Stockholm,63.6%,2.1%,2.8%,39.3%,38.0%,23.8%,30.8%,11.7%,7.3%,11.0%,11.3%,4.1%,3.8%
55.6%,7.4%,0.0%,7.4%,6480ded387d3f0a7fb6296bb,5.5%,3.7%,CKB,New Zealand,33.3%,City Kickboxing,Auckland,66.7%,1.6%,3.3%,38.6%,37.4%,25.7%,29.3%,17.6%,14.5%,8.8%,10.5%,2.2%,1.3%
10.0%,0.0%,40.0%,20.0%,6480ded487d3f0a7fb6296bc,5.9%,9.4%,ChuteBoxe,Brazil,30.0%,Chute Boxe,Curitiba,70.0%,0.5%,4.6%,40.4%,33.4%,25.8%,23.1%,7.7%,8.0%,17.8%,16.1%,1.9%,5.4%
18.2%,9.1%,0.0%,33.3%,6480ded487d3f0a7fb6296bd,8.2%,2.4%,ElevationFightTeam,USA,39.4%,Elevation Fight Team,Colorado,60.6%,1.2%,1.5%,35.9%,33.0%,26.2%,39.6%,9.9%,8.3%,14.4%,12.8%,4.3%,2.4%
14.3%,0.0%,0.0%,28.6%,6480ded587d3f0a7fb6296be,7.4%,1.0%,EntramGym,Mexico,14.3%,Entram Gym,Tijuana,57.1%,1.2%,4.0%,47.0%,50.1%,19.3%,31.6%,14.9%,1.3%,6.5%,9.3%,3.6%,2.7%
0.0%,0.0%,37.5%,12.5%,6480ded587d3f0a7fb6296bf,7.6%,8.3%,FactoryX,USA,50.0%,FactoryX Muay Thai,Colorado,50.0%,3.1%,2.3%,30.4%,33.8%,14.3%,36.6%,29.0%,7.0%,8.9%,10.6%,6.7%,1.4%
10.5%,15.8%,15.8%,15.8%,6480ded687d3f0a7fb6296c0,11.0%,2.9%,Fortis MMA,USA,42.1%,FortisMMA,Texas,57.9%,2.0%,1.6%,32.9%,37.6%,25.1%,31.2%,9.4%,2.6%,17.0%,21.4%,2.7%,2.7%
38.5%,0.0%,7.7%,15.4%,6480ded687d3f0a7fb6296c1,5.3%,8.2%,JacksonMMA,USA,38.5%,"Jackson's MMA",New Mexico,61.5%,0.8%,4.4%,31.0%,25.8%,22.4%,29.4%,21.2%,21.1%,16.6%,9.4%,2.8%,1.7%
23.7%,7.9%,10.5%,10.5%,6480ded787d3f0a7fb6296c2,7.7%,5.1%,KillCliffFC,USA,42.1%,Kill Cliff FC,Florida,55.3%,0.8%,2.5%,36.5%,38.5%,20.7%,31.9%,16.7%,6.2%,13.9%,13.2%,3.8%,2.6%
44.4%,0.0%,33.3%,0.0%,6480ded887d3f0a7fb6296c3,14.4%,2.5%,KingsMMA,USA,33.3%,Kings MMA,California,66.7%,3.4%,2.8%,29.9%,21.6%,16.0%,47.2%,18.9%,5.4%,14.4%,18.7%,2.9%,1.8%
44.4%,11.1%,22.2%,11.1%,6480ded887d3f0a7fb6296c4,9.7%,10.5%,MMAFactory,France,22.2%,MMA Factory,Paris,77.8%,0.5%,2.2%,33.4%,22.6%,14.8%,35.7%,29.1%,17.7%,8.9%,8.5%,3.5%,3.0%
14.3%,0.0%,0.0%,14.3%,6480ded987d3f0a7fb6296c5,12.9%,2.1%,MMALab,USA,57.1%,MMA Lab,Glendale,42.9%,1.1%,1.1%,37.5%,45.1%,20.1%,27.5%,16.0%,7.0%,9.9%,15.5%,2.5%,1.6%
11.1%,0.0%,11.1%,0.0%,6480ded987d3f0a7fb6296c6,11.8%,3.5%,NovaUniao,Brazil,77.8%,Nova Uniao,Rio de Janeiro,22.2%,0.4%,0.7%,27.4%,34.7%,26.7%,31.7%,19.4%,11.0%,11.1%,15.2%,3.2%,3.1%
11.1%,0.0%,33.3%,0.0%,6480deda87d3f0a7fb6296c7,5.7%,5.6%,RenzoGracieAcademy,USA,44.4%,Renzo Gracie Academy,New York,55.6%,2.7%,4.4%,41.9%,29.1%,18.5%,35.6%,16.5%,8.5%,12.1%,16.7%,2.7%,0.1%
50.0%,0.0%,8.3%,8.3%,6480deda87d3f0a7fb6296c8,4.3%,2.5%,Roufusport,USA,25.0%,Roufusport,Wisconsin,66.7%,1.4%,2.8%,31.3%,38.4%,27.0%,41.2%,17.3%,1.9%,17.1%,10.0%,1.7%,3.1%
0.0%,7.7%,15.4%,23.1%,6480dedb87d3f0a7fb6296c9,16.1%,10.9%,SBGIreland,Ireland,53.8%,SBG Ireland,Dublin,46.2%,1.5%,5.6%,21.9%,25.2%,7.3%,24.2%,39.4%,25.5%,10.9%,7.9%,2.9%,0.7%
58.3%,0.0%,8.3%,25.0%,6480dedc87d3f0a7fb6296ca,8.8%,8.4%,Serra-LongoFightTeam,USA,0.0%,Serra-Longo Fight Team,Long Island,100.0%,0.8%,5.0%,29.6%,30.8%,17.7%,32.3%,24.7%,9.2%,16.1%,12.4%,2.3%,1.8%
27.8%,27.8%,5.6%,16.7%,6480dedc87d3f0a7fb6296cb,8.4%,3.0%,TeamAlphaMale,USA,33.3%,Team Alpha Male,California,66.7%,1.0%,2.4%,29.0%,40.3%,31.6%,30.9%,10.6%,5.6%,14.6%,16.2%,4.7%,1.6%
22.2%,0.0%,33.3%,11.1%,6480dedd87d3f0a7fb6296cc,3.3%,5.5%,TeamFigueiredo,Brazil,22.2%,Team Figueiredo,Belem,66.7%,0.9%,1.8%,49.4%,46.2%,24.7%,24.7%,11.3%,7.6%,6.8%,8.9%,3.5%,5.4%
28.6%,42.9%,0.0%,0.0%,6480dedd87d3f0a7fb6296cd,4.2%,10.0%,TeamOyama,United States,28.6%,Team Oyama,Irvine,71.4%,0.2%,6.6%,40.2%,17.8%,20.6%,32.7%,13.0%,16.4%,17.8%,13.7%,4.2%,2.8%
12.5%,25.0%,0.0%,37.5%,6480dede87d3f0a7fb6296ce,10.7%,4.7%,TeixeiraMMA,USA,25.0%,Teixeira MMA,Connecticut,75.0%,0.3%,3.1%,36.1%,41.3%,21.6%,22.2%,15.6%,13.2%,14.5%,10.4%,1.4%,5.0%
32.0%,16.0%,4.0%,16.0%,6480dede87d3f0a7fb6296cf,7.0%,9.4%,TigerMuayThai,Thailand,24.0%,Tiger Muay Thai,Phuket,76.0%,0.6%,3.3%,29.8%,37.0%,25.8%,24.4%,20.1%,9.0%,12.8%,15.6%,3.9%,1.3%
42.9%,0.0%,0.0%,14.3%,6480dedf87d3f0a7fb6296d0,11.7%,2.8%,Tristar,Canada,42.9%,Tristar Gym,Quebec,57.1%,1.4%,5.8%,25.4%,32.7%,24.7%,32.7%,19.6%,5.9%,14.4%,16.5%,2.7%,3.6%
7.4%,11.1%,3.7%,18.5%,6480dee087d3f0a7fb6296d1,11.8%,4.6%,XtremeCouture,USA,59.3%,Xtreme Couture,Nevada,40.7%,1.7%,2.4%,27.5%,43.3%,21.0%,29.5%,20.7%,8.1%,15.1%,9.8%,2.3%,2.4%