AmericanaWin,AnacondaWin,ArmTriangleWin,BeingClinched,BodyKicksAbsorbed,BulldogWin,CalfSlicerWin,CenterOctagon,CrossesAbsorbed,DEC,DarceWin,EzekielWin,FightsTracked,GogoplataWin,GuillotineWin,HeadKicksAbsorbed,HeelHookWin,HooksAbsorbed,InClinch,JabsAbsorbed,KO,KimuraWin,KneeBarWin,LegKicksAbsorbed,LeglockWin,MinutesTracked,NeckCrankWin,OmoplataWin,OnBottomGround,OnTopGround,OtherSubWin,PushedBackToCage,PushingAgainstCage,RNCWin,RoundsTracked,SUB,StraightArmLockWin,StraightsAbsorbed,SulovStretchWin,TKO,TimesKnockedDown,TimesStunned,TotalBodyKickAttempt,TotalBodyKickMake,TotalCrossAttempt,TotalCrossMake,TotalHeadKickAttempt,TotalHeadKickMake,TotalHookAttempt,TotalHookMake,TotalJabAttempt,TotalJabMake,TotalKnockDowns,TotalLegKickAttempt,TotalLegKickMake,TotalPositionPoints,TotalStraightAttempt,TotalStraightMake,TotalStuns,TotalTDAttempt,TotalTDMake,TotalUppercutAttempt,TotalUppercutMake,TriangleArmBarWin,TriangleWin,TwisterWin,UppercutsAbsorbed,_id,round1StrikesLanded,round2StrikesLanded,round3StrikesLanded,round4StrikesLanded,round5StrikesLanded,weight,weightClassCode
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,0,39,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,1,0,18,0,0,1,3,2,0,0,0,0,0,76,20,95,39,1,13,10,0,42,18,3,3,2,1,0,0,0,0,0,639973cc5a7034194efa04a3,24,75,0,0,0,135,WomensBantamweight
0,0,0,0,240,0,0,0,1,18,0,0,59,0,0,26,0,1106,0,877,11,0,0,601,0,0,0,0,0,0,0,0,0,0,119,7,0,359,0,26,34,45,318,240,2,1,105,26,2892,1106,2460,869,34,778,601,0,838,359,45,186,94,233,130,0,0,0,130,639974473989c2d8e34df99a,1947,1313,1011,187,162,265,Heavyweight
0,0,0,0,375,0,0,0,3,19,0,0,41,0,0,42,0,1082,0,891,10,0,0,620,0,0,0,0,0,0,0,0,0,0,112,4,0,505,0,12,27,24,555,375,7,3,326,42,3590,1082,3318,891,27,807,620,0,1352,505,24,342,95,244,114,0,0,0,114,639973f98b456806fb210d2a,1596,1534,1070,322,284,135,Bantamweight
0,0,0,0,233,0,0,0,0,28,0,0,33,0,0,49,0,1794,0,1299,4,0,0,816,0,0,0,0,0,0,0,0,0,0,107,2,0,513,0,6,16,30,416,233,0,0,342,49,4876,1794,4145,1299,16,1131,816,0,1403,513,30,155,44,265,124,0,0,0,124,639974084ea59d910f870567,1516,1481,1348,614,557,145,Featherweight
0,0,0,0,54,0,0,0,0,5,0,0,8,0,0,2,0,326,0,203,0,0,0,126,0,0,0,0,0,0,0,0,0,0,20,1,0,114,0,2,1,10,77,54,0,0,48,2,988,326,604,203,1,170,126,0,337,114,10,38,15,38,13,0,0,0,13,639973aed55eb6c5a852009c,358,297,241,37,45,115,WomensStrawweight
0,0,0,0,433,0,0,0,29,31,0,0,68,0,0,65,0,2086,0,1324,8,0,0,797,0,0,0,0,0,0,0,0,0,0,185,14,0,795,0,17,48,66,655,433,83,29,371,65,6004,2086,4947,1324,48,1044,797,0,1898,795,66,374,148,362,173,0,0,0,173,6399742343ab1fdcc14ab102,2957,2262,1929,623,460,170,Welterweight
0,0,0,0,117,0,0,0,0,10,0,0,24,0,0,31,0,758,0,589,2,0,0,373,0,0,0,0,0,0,0,0,0,0,67,6,0,355,0,6,3,14,178,117,0,0,151,31,1876,758,1920,589,3,494,373,0,964,355,14,130,76,65,35,0,0,0,35,639973bb2b6f7e2ca5582e8f,1437,1172,727,349,290,125,WomensFlyweight
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,9,5,0,4,4,0,1,1,1,2,0,1,0,0,0,0,0,639973d9f6d69b7d53a6e9a1,24,0,0,0,0,145,WomensFeatherweight
0,0,0,0,72,0,0,0,0,6,0,0,17,0,0,19,0,664,0,384,0,0,0,174,0,0,0,0,0,0,0,0,0,0,43,5,0,113,0,4,15,11,104,72,0,0,104,19,1606,664,1152,384,15,245,174,0,334,113,11,83,37,110,62,0,0,0,62,639973eaceab85fc26dc38f6,649,513,462,102,72,125,Flyweight
0,0,0,0,442,0,0,0,0,17,0,0,56,0,0,48,0,1460,0,690,10,0,0,538,0,0,0,0,0,0,0,0,0,0,125,16,0,565,0,13,37,62,614,442,0,0,250,48,3964,1460,2315,690,37,703,538,0,1269,565,62,281,107,233,136,0,0,0,136,6399741598d5141cad61b107,2498,1540,987,186,145,155,Lightweight
0,0,0,0,241,0,0,0,0,13,0,0,36,0,0,37,0,932,0,583,7,0,0,560,0,0,0,0,0,0,0,0,0,0,94,5,0,398,0,12,25,33,358,241,0,0,269,37,2610,932,1871,583,25,704,560,0,1003,398,33,143,54,159,63,0,0,0,63,6399743043d3e6cc88b4e239,1324,1138,513,286,274,185,Middleweight
0,0,0,0,322,0,0,0,10,18,0,0,55,0,0,40,0,954,0,577,9,0,0,697,0,0,0,0,0,0,0,0,0,0,113,11,0,329,0,18,33,34,465,322,30,10,217,40,2616,954,2054,577,33,907,697,0,757,329,34,175,88,157,84,0,0,0,84,6399743ec85b6d437c303f50,1834,1039,882,344,293,205,LightHeavyweight